[Peptides-struct] task=regression level=graph metric=mae (higher_is_better=False)
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 092 |  91.4s | train loss 0.2489 MAE 0.2488 | val loss 0.2484 MAE 0.2483 | test loss 0.2525 MAE 0.2524 | best val 0.2463 (epoch 88, test 0.2510097265382004)
epoch 093 |  91.6s | train loss 0.2448 MAE 0.2448 | val loss 0.2495 MAE 0.2493 | test loss 0.2533 MAE 0.2531 | best val 0.2463 (epoch 88, test 0.2510097265382004)
epoch 094 |  95.4s | train loss 0.2466 MAE 0.2466 | val loss 0.2513 MAE 0.2513 | test loss 0.2558 MAE 0.2557 | best val 0.2463 (epoch 88, test 0.2510097265382004)
epoch 095 | 116.1s | train loss 0.2446 MAE 0.2446 | val loss 0.2514 MAE 0.2513 | test loss 0.2548 MAE 0.2546 | best val 0.2463 (epoch 88, test 0.2510097265382004)
epoch 096 | 118.6s | train loss 0.2461 MAE 0.2460 | val loss 0.2497 MAE 0.2496 | test loss 0.2572 MAE 0.2571 | best val 0.2463 (epoch 88, test 0.2510097265382004)
epoch 097 | 117.1s | train loss 0.2453 MAE 0.2453 | val loss 0.2517 MAE 0.2516 | test loss 0.2558 MAE 0.2557 | best val 0.2463 (epoch 88, test 0.2510097265382004)
epoch 098 | 112.2s | train loss 0.2429 MAE 0.2429 | val loss 0.2505 MAE 0.2504 | test loss 0.2551 MAE 0.2550 | best val 0.2463 (epoch 88, test 0.2510097265382004)
epoch 099 | 114.2s | train loss 0.2440 MAE 0.2440 | val loss 0.2464 MAE 0.2463 | test loss 0.2525 MAE 0.2524 | best val 0.2463 (epoch 99, test 0.2524073131909939)
epoch 100 | 115.9s | train loss 0.2437 MAE 0.2437 | val loss 0.2519 MAE 0.2518 | test loss 0.2588 MAE 0.2587 | best val 0.2463 (epoch 99, test 0.2524073131909939)
epoch 101 | 112.0s | train loss 0.2436 MAE 0.2435 | val loss 0.2464 MAE 0.2462 | test loss 0.2499 MAE 0.2498 | best val 0.2462 (epoch 101, test 0.2497889591375208)
